Length	Freq
1	16
2	57
3	468
4	1838
5	3869
6	6738
7	9220
8	11082
9	11642
10	10677
11	8642
12	6361
13	4480
14	2815
15	1700
16	914
17	512
18	250
19	138
20	68
21	35
22	13
23	5
24	1
28	1
